Ranking,Name,IMDB Rating,Year Released
1,The Shawshank Redemption,"
9.2
",1994
2,The Godfather,"
9.2
",1972
3,The Dark Knight,"
9.0
",2008
4,The Godfather Part II,"
9.0
",1974
5,12 Angry Men,"
9.0
",1957
6,Schindler's List,"
8.9
",1993
7,The Lord of the Rings: The Return of the King,"
8.9
",2003
8,Pulp Fiction,"
8.8
",1994
9,The Lord of the Rings: The Fellowship of the Ring,"
8.8
",2001
10,"The Good, the Bad and the Ugly","
8.8
",1966
11,Forrest Gump,"
8.8
",1994
12,Fight Club,"
8.7
",1999
13,The Lord of the Rings: The Two Towers,"
8.7
",2002
14,Inception,"
8.7
",2010
15,Star Wars: Episode V - The Empire Strikes Back,"
8.7
",1980
16,The Matrix,"
8.7
",1999
17,Goodfellas,"
8.7
",1990
18,One Flew Over the Cuckoo's Nest,"
8.6
",1975
19,Se7en,"
8.6
",1995
20,Seven Samurai,"
8.6
",1954
21,It's a Wonderful Life,"
8.6
",1946
22,The Silence of the Lambs,"
8.6
",1991
23,Saving Private Ryan,"
8.6
",1998
24,City of God,"
8.6
",2002
25,Interstellar,"
8.6
",2014
26,Life Is Beautiful,"
8.6
",1997
27,The Green Mile,"
8.6
",1999
28,Star Wars,"
8.5
",1977
29,Terminator 2: Judgment Day,"
8.5
",1991
30,Back to the Future,"
8.5
",1985
31,Spirited Away,"
8.5
",2001
32,The Pianist,"
8.5
",2002
33,Psycho,"
8.5
",1960
34,Parasite,"
8.5
",2019
35,Léon: The Professional,"
8.5
",1994
36,The Lion King,"
8.5
",1994
37,Gladiator,"
8.5
",2000
38,American History X,"
8.5
",1998
39,The Departed,"
8.5
",2006
40,The Usual Suspects,"
8.5
",1995
41,The Prestige,"
8.5
",2006
42,Whiplash,"
8.5
",2014
43,Casablanca,"
8.5
",1942
44,Harakiri,"
8.5
",1962
45,Grave of the Fireflies,"
8.5
",1988
46,The Intouchables,"
8.5
",2011
47,Modern Times,"
8.4
",1936
48,Once Upon a Time in the West,"
8.4
",1968
49,Rear Window,"
8.4
",1954
50,Cinema Paradiso,"
8.4
",1988
51,Alien,"
8.4
",1979
52,City Lights,"
8.4
",1931
53,Apocalypse Now,"
8.4
",1979
54,Memento,"
8.4
",2000
55,Django Unchained,"
8.4
",2012
56,Raiders of the Lost Ark,"
8.4
",1981
57,WALL·E,"
8.4
",2008
58,The Lives of Others,"
8.4
",2006
59,Sunset Blvd.,"
8.4
",1950
60,Paths of Glory,"
8.4
",1957
61,The Shining,"
8.4
",1980
62,The Great Dictator,"
8.4
",1940
63,Avengers: Infinity War,"
8.4
",2018
64,Witness for the Prosecution,"
8.4
",1957
65,Aliens,"
8.3
",1986
66,Spider-Man: Into the Spider-Verse,"
8.3
",2018
67,American Beauty,"
8.3
",1999
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"
8.3
",1964
69,The Dark Knight Rises,"
8.3
",2012
70,Oldboy,"
8.3
",2003
71,Inglourious Basterds,"
8.3
",2009
72,Amadeus,"
8.3
",1984
73,Coco,"
8.3
",2017
74,Toy Story,"
8.3
",1995
75,Joker,"
8.3
",2019
76,Braveheart,"
8.3
",1995
77,The Boat,"
8.3
",1981
78,Avengers: Endgame,"
8.3
",2019
79,Princess Mononoke,"
8.3
",1997
80,Once Upon a Time in America,"
8.3
",1984
81,Good Will Hunting,"
8.3
",1997
82,Your Name.,"
8.3
",2016
83,Singin' in the Rain,"
8.3
",1952
84,3 Idiots,"
8.3
",2009
85,Requiem for a Dream,"
8.3
",2000
86,High and Low,"
8.3
",1963
87,Toy Story 3,"
8.3
",2010
88,Capernaum,"
8.3
",2018
89,Star Wars: Episode VI - Return of the Jedi,"
8.3
",1983
90,Eternal Sunshine of the Spotless Mind,"
8.3
",2004
91,2001: A Space Odyssey,"
8.3
",1968
92,Reservoir Dogs,"
8.3
",1992
93,Come and See,"
8.3
",1985
94,The Hunt,"
8.3
",2012
95,Citizen Kane,"
8.3
",1941
96,M,"
8.3
",1931
97,Lawrence of Arabia,"
8.2
",1962
98,North by Northwest,"
8.2
",1959
99,Ikiru,"
8.2
",1952
100,Vertigo,"
8.2
",1958
101,The Apartment,"
8.2
",1960
102,Amélie,"
8.2
",2001
103,A Clockwork Orange,"
8.2
",1971
104,Double Indemnity,"
8.2
",1944
105,Full Metal Jacket,"
8.2
",1987
106,Scarface,"
8.2
",1983
107,Hamilton,"
8.2
",2020
108,Top Gun: Maverick,"
8.2
",2022
109,Incendies,"
8.2
",2010
110,To Kill a Mockingbird,"
8.2
",1962
111,Heat,"
8.2
",1995
112,The Sting,"
8.2
",1973
113,Up,"
8.2
",2009
114,A Separation,"
8.2
",2011
115,Metropolis,"
8.2
",1927
116,Taxi Driver,"
8.2
",1976
117,L.A. Confidential,"
8.2
",1997
118,Die Hard,"
8.2
",1988
119,Snatch,"
8.2
",2000
120,Indiana Jones and the Last Crusade,"
8.2
",1989
121,Bicycle Thieves,"
8.2
",1948
122,Like Stars on Earth,"
8.2
",2007
123,1917,"
8.2
",2019
124,Downfall,"
8.2
",2004
125,Dangal,"
8.2
",2016
126,For a Few Dollars More,"
8.2
",1965
127,Batman Begins,"
8.2
",2005
128,The Kid,"
8.2
",1921
129,Some Like It Hot,"
8.2
",1959
130,The Father,"
8.2
",2020
131,All About Eve,"
8.2
",1950
132,The Wolf of Wall Street,"
8.2
",2013
133,Green Book,"
8.2
",2018
134,Judgment at Nuremberg,"
8.2
",1961
135,Ran,"
8.2
",1985
136,Casino,"
8.2
",1995
137,The Truman Show,"
8.2
",1998
138,Pan's Labyrinth,"
8.2
",2006
139,There Will Be Blood,"
8.2
",2007
140,Unforgiven,"
8.2
",1992
141,The Sixth Sense,"
8.2
",1999
142,Shutter Island,"
8.2
",2010
143,A Beautiful Mind,"
8.2
",2001
144,Jurassic Park,"
8.1
",1993
145,Yojimbo,"
8.1
",1961
146,The Treasure of the Sierra Madre,"
8.1
",1948
147,Monty Python and the Holy Grail,"
8.1
",1975
148,The Great Escape,"
8.1
",1963
149,No Country for Old Men,"
8.1
",2007
150,Kill Bill: Vol. 1,"
8.1
",2003
151,Rashomon,"
8.1
",1950
152,Spider-Man: No Way Home,"
8.1
",2021
153,The Thing,"
8.1
",1982
154,Finding Nemo,"
8.1
",2003
155,The Elephant Man,"
8.1
",1980
156,Chinatown,"
8.1
",1974
157,Raging Bull,"
8.1
",1980
158,V for Vendetta,"
8.1
",2005
159,Gone with the Wind,"
8.1
",1939
160,"Lock, Stock and Two Smoking Barrels","
8.1
",1998
161,Inside Out,"
8.1
",2015
162,Dial M for Murder,"
8.1
",1954
163,The Secret in Their Eyes,"
8.1
",2009
164,Howl's Moving Castle,"
8.1
",2004
165,"Three Billboards Outside Ebbing, Missouri","
8.1
",2017
166,The Bridge on the River Kwai,"
8.1
",1957
167,Trainspotting,"
8.1
",1996
168,Prisoners,"
8.1
",2013
169,Warrior,"
8.1
",2011
170,Fargo,"
8.1
",1996
171,Gran Torino,"
8.1
",2008
172,My Neighbor Totoro,"
8.1
",1988
173,Catch Me If You Can,"
8.1
",2002
174,Million Dollar Baby,"
8.1
",2004
175,Children of Heaven,"
8.1
",1997
176,Blade Runner,"
8.1
",1982
177,The Gold Rush,"
8.1
",1925
178,Before Sunrise,"
8.1
",1995
179,Klaus,"
8.1
",2019
180,12 Years a Slave,"
8.1
",2013
181,Harry Potter and the Deathly Hallows: Part 2,"
8.1
",2011
182,On the Waterfront,"
8.1
",1954
183,Ben-Hur,"
8.1
",1959
184,The Grand Budapest Hotel,"
8.1
",2014
185,Gone Girl,"
8.1
",2014
186,Wild Strawberries,"
8.1
",1957
187,The General,"
8.1
",1926
188,The Third Man,"
8.1
",1949
189,In the Name of the Father,"
8.1
",1993
190,Barry Lyndon,"
8.1
",1975
191,The Deer Hunter,"
8.1
",1978
192,Hacksaw Ridge,"
8.1
",2016
193,The Wages of Fear,"
8.1
",1953
194,Memories of Murder,"
8.1
",2003
195,Sherlock Jr.,"
8.1
",1924
196,Wild Tales,"
8.1
",2014
197,Mr. Smith Goes to Washington,"
8.1
",1939
198,Mad Max: Fury Road,"
8.1
",2015
199,The Seventh Seal,"
8.1
",1957
200,Mary and Max,"
8.1
",2009
201,How to Train Your Dragon,"
8.1
",2010
202,Room,"
8.1
",2015
203,"Monsters, Inc.","
8.1
",2001
204,Jaws,"
8.1
",1975
205,Dead Poets Society,"
8.1
",1989
206,The Big Lebowski,"
8.1
",1998
207,Tokyo Story,"
8.1
",1953
208,The Passion of Joan of Arc,"
8.1
",1928
209,Ford v Ferrari,"
8.0
",2019
210,Hotel Rwanda,"
8.0
",2004
211,Rocky,"
8.0
",1976
212,Platoon,"
8.0
",1986
213,Ratatouille,"
8.0
",2007
214,Spotlight,"
8.0
",2015
215,The Terminator,"
8.0
",1984
216,Logan,"
8.0
",2017
217,Stand by Me,"
8.0
",1986
218,Rush,"
8.0
",2013
219,Network,"
8.0
",1976
220,Before Sunset,"
8.0
",2004
221,Into the Wild,"
8.0
",2007
222,The Wizard of Oz,"
8.0
",1939
223,Pather Panchali,"
8.0
",1955
224,Groundhog Day,"
8.0
",1993
225,The Best Years of Our Lives,"
8.0
",1946
226,The Exorcist,"
8.0
",1973
227,To Be or Not to Be,"
8.0
",1942
228,The Incredibles,"
8.0
",2004
229,La haine,"
8.0
",1995
230,Pirates of the Caribbean: The Curse of the Black Pearl,"
8.0
",2003
231,The Battle of Algiers,"
8.0
",1966
232,Jai Bhim,"
8.0
",2021
233,Hachi: A Dog's Tale,"
8.0
",2009
234,The Grapes of Wrath,"
8.0
",1940
235,My Father and My Son,"
8.0
",2005
236,Amores Perros,"
8.0
",2000
237,Rebecca,"
8.0
",1940
238,Cool Hand Luke,"
8.0
",1967
239,The Handmaiden,"
8.0
",2016
240,The 400 Blows,"
8.0
",1959
241,The Sound of Music,"
8.0
",1965
242,It Happened One Night,"
8.0
",1934
243,Persona,"
8.0
",1966
244,Life of Brian,"
8.0
",1979
245,The Iron Giant,"
8.0
",1999
246,Dersu Uzala,"
8.0
",1975
247,The Help,"
8.0
",2011
248,Aladdin,"
8.0
",1992
249,Gandhi,"
8.0
",1982
250,Dances with Wolves,"
8.0
",1990
